Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Ciliary Membrane (GO:0060170),2/38,0.0024917283995822,0.1569788891736842,0,0,29.91741741741742,179.34829588302824,PKD1;SHANK3
GO_Cellular_Component_2023,Hemidesmosome (GO:0030056),1/6,0.0116444467860795,0.2135051394550894,0,0,105.03157894736842,467.6978364624713,PLEC
GO_Cellular_Component_2023,Perineuronal Net (GO:0072534),1/8,0.0154965058075421,0.2135051394550894,0,0,75.01503759398496,312.59821718825697,HAPLN4
GO_Cellular_Component_2023,Perisynaptic Extracellular Matrix (GO:0098966),1/9,0.0174170468329855,0.2135051394550894,0,0,65.63486842105263,265.8412914846341,HAPLN4
GO_Cellular_Component_2023,Cell Projection Membrane (GO:0031253),2/105,0.0178288983614993,0.2135051394550894,0,0,10.4214117029651,41.9663437289938,SHANK3;PKD1
GO_Cellular_Component_2023,Cell-Cell Junction (GO:0005911),3/299,0.0203338228052466,0.2135051394550894,0,0,5.536317567567568,21.56655695412117,AJM1;SCRIB;TNFRSF25
GO_Cellular_Component_2023,Asymmetric Synapse (GO:0032279),2/133,0.0277032401668246,0.2493291615014221,0,0,8.182380854136579,29.34370248777225,SCRIB;SHANK3
GO_Cellular_Component_2023,Postsynaptic Density (GO:0014069),2/151,0.034969428132088,0.2753842465401932,0,0,7.187375294757845,24.1012895989696,SCRIB;SHANK3
GO_Cellular_Component_2023,Golgi-associated Vesicle Membrane (GO:0030660),1/23,0.043924395374042,0.2776607883661889,0,0,23.85047846889952,74.53955237955424,PKD1
GO_Cellular_Component_2023,Catenin Complex (GO:0016342),1/28,0.0532214016371129,0.2776607883661889,0,0,19.428849902534115,56.99054200163032,APC2
GO_Cellular_Component_2023,Axon (GO:0030424),2/205,0.0604898249291361,0.2776607883661889,0,0,5.261083743842365,14.758813589322934,TNFRSF25;HCN2
GO_Cellular_Component_2023,Autophagosome Membrane (GO:0000421),1/35,0.0660893728937635,0.2776607883661889,0,0,15.423374613003096,41.90141161770672,ULK1
GO_Cellular_Component_2023,Supramolecular Fiber (GO:0099512),1/36,0.0679136874331451,0.2776607883661889,0,0,14.981954887218045,40.29423258768696,TNK2
GO_Cellular_Component_2023,Monoatomic Ion Channel Complex (GO:0034702),1/36,0.0679136874331451,0.2776607883661889,0,0,14.981954887218045,40.29423258768696,PKD1
GO_Cellular_Component_2023,Basement Membrane (GO:0005604),1/46,0.0859669091499317,0.2776607883661889,0,0,11.646783625730992,28.57879420114118,AGRN
GO_Cellular_Component_2023,Golgi-associated Vesicle (GO:0005798),1/47,0.0877533793517477,0.2776607883661889,0,0,11.393020594965677,27.721781469051702,PKD1
GO_Cellular_Component_2023,Cilium (GO:0005929),2/257,0.089410673529014,0.2776607883661889,0,0,4.177212506624271,10.085943146115184,SHANK3;PKD1
GO_Cellular_Component_2023,Neuron Projection (GO:0043005),3/557,0.0940254933674563,0.2776607883661889,0,0,2.9192238267148016,6.901597815542499,TNFRSF25;SHANK3;HCN2
GO_Cellular_Component_2023,Polymeric Cytoskeletal Fiber (GO:0099513),2/265,0.0941708641282585,0.2776607883661889,0,0,4.048504778542801,9.565177318470177,APC2;PLEC
GO_Cellular_Component_2023,Sarcolemma (GO:0042383),1/52,0.0966348226059749,0.2776607883661889,0,0,10.273477812177502,24.00722856261286,PLEC
GO_Cellular_Component_2023,Cation Channel Complex (GO:0034703),1/53,0.0984009737131715,0.2776607883661889,0,0,10.075404858299596,23.361887385395157,PKD1
