Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Hemidesmosome (GO:0030056),2/6,5.820444578089953e-05,0.0030266311806067,0,0,262.57894736842104,2560.55142388326,ERBIN;PLEC
GO_Cellular_Component_2023,Filopodium (GO:0030175),2/60,0.0064155759281884,0.0887085167799654,0,0,18.05989110707804,91.18486890563892,CXADR;ARF6
GO_Cellular_Component_2023,"Signal Recognition Particle, Endoplasmic Reticulum Targeting (GO:0005786)",1/5,0.0099609694951761,0.0887085167799654,0,0,127.92307692307692,589.6078070933972,SRP9
GO_Cellular_Component_2023,PAR Polarity Complex (GO:0120157),1/5,0.0099609694951761,0.0887085167799654,0,0,127.92307692307692,589.6078070933972,PARD6B
GO_Cellular_Component_2023,Apicolateral Plasma Membrane (GO:0016327),1/5,0.0099609694951761,0.0887085167799654,0,0,127.92307692307692,589.6078070933972,CXADR
GO_Cellular_Component_2023,Bicellular Tight Junction (GO:0005923),2/81,0.0114378590207367,0.0887085167799654,0,0,13.245169886742172,59.216855984682496,PARD6B;CXADR
GO_Cellular_Component_2023,B-WICH Complex (GO:0110016),1/6,0.0119415311049953,0.0887085167799654,0,0,102.33333333333331,453.1046714729428,MYBBP1A
GO_Cellular_Component_2023,Tight Junction (GO:0070160),2/93,0.0148766104003455,0.0966979676022462,0,0,11.491613649508386,48.356308848882506,PARD6B;CXADR
GO_Cellular_Component_2023,Apical Junction Complex (GO:0043296),2/106,0.0190396264848466,0.1028908607582356,0,0,10.048582995951415,39.80477723238849,PARD6B;CXADR
GO_Cellular_Component_2023,Filopodium Membrane (GO:0031527),1/11,0.0217865488821679,0.1028908607582356,0,0,51.15384615384615,195.7382752343542,ARF6
GO_Cellular_Component_2023,Nucleus (GO:0005634),15/4487,0.0222653708345366,0.1028908607582356,0,0,2.0779964221824687,7.90620012652485,BARD1;CNOT6L;ERBIN;PTEN;IRF2BP2;ZNF22;PARD6B;BAG4;RMND5A;MYBBP1A;ZNF516;MIER1;ANP32E;SINHCAF;SSBP2
GO_Cellular_Component_2023,Swr1 Complex (GO:0000812),1/12,0.023744044790362,0.1028908607582356,0,0,46.5011655011655,173.93405340895535,ANP32E
GO_Cellular_Component_2023,Sin3 Complex (GO:0016580),1/21,0.0411905160666275,0.1490462833474142,0,0,25.56410256410257,81.53791281942478,SINHCAF
GO_Cellular_Component_2023,Sin3-type Complex (GO:0070822),1/21,0.0411905160666275,0.1490462833474142,0,0,25.56410256410257,81.53791281942478,SINHCAF
GO_Cellular_Component_2023,Cell-Substrate Junction (GO:0030055),3/395,0.0441071150815146,0.1490462833474142,0,0,4.047435190292333,12.632588272578824,ERBIN;PLEC;ARF6
